Ideal,Noisy,Data Path
"[0.014979999999999999, -0.03276, -0.013660000000000002, 0.009859999999999997, 0.022380000000000004]","[0.02324, -0.019200000000000002, -0.025840000000000002, 0.03704, 0.02832]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J00.pk
"[-0.4677, -0.50136, -0.46118000000000003, -0.47695999999999994, -0.47104]","[-0.44044, -0.4678, -0.4474, -0.45355999999999996, -0.44904]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J01.pk
"[-0.46919999999999995, -0.4794599999999999, -0.47648, -0.4853000000000002, -0.46608000000000005]","[-0.44487999999999994, -0.4578399999999999, -0.45728, -0.4478000000000001, -0.44528]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J02.pk
"[-0.4755599999999999, -0.4480599999999999, -0.46636, -0.4740599999999999, -0.46294]","[-0.44159999999999994, -0.43567999999999996, -0.44451999999999997, -0.45267999999999997, -0.44112]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J03.pk
"[-0.48061999999999994, -0.46720000000000006, -0.46752000000000005, -0.48041999999999996, -0.4747]","[-0.42835999999999996, -0.42952, -0.42076, -0.43892, -0.4434]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J04.pk
"[-0.47428000000000003, -0.45921999999999996, -0.4377400000000001, -0.4537, -0.45398000000000005]","[-0.42484, -0.42444, -0.42540000000000006, -0.44483999999999996, -0.42560000000000003]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J05.pk
"[-0.4335, -0.46126, -0.48226, -0.47143999999999997, -0.46464]","[-0.39116, -0.42308, -0.44484, -0.44172, -0.44376]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J06.pk
"[-0.45974, -0.48561999999999994, -0.47350000000000003, -0.4908999999999999, -0.49332]","[-0.43872, -0.46452, -0.45312, -0.45011999999999996, -0.46628]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J07.pk
"[-0.49177999999999994, -0.47346, -0.48685999999999996, -0.46618000000000015, -0.48632]","[-0.44799999999999995, -0.44924, -0.44588, -0.44644000000000006, -0.46536]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J08.pk
"[-0.46184000000000003, -0.49473999999999996, -0.47128000000000003, -0.46236, -0.46296000000000015]","[-0.44820000000000004, -0.47147999999999995, -0.43848000000000004, -0.45264, -0.44068000000000007]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J09.pk
